Fecha,Hora_Local,Pais,Competicion,Competicion_ID_Sofascore,Torneo,Torneo_ID_Sofascore,Ronda,Equipo_Local,Equipo_Local_ID_Sofascore,Pais_Local,Equipo_Visitante,Equipo_Visitante_ID_Sofascore,Pais_Visitante,Marcador,Estado
2026-06-09,10:30,World,International Friendly Games Women,852,"International Friendly Games, Women",1039,,Myanmar,132948,Myanmar,Thailand,75029,Thailand,1-1,Finalizado
2026-06-09,11:30,World,International Friendly Games,851,Int. Friendly Games,66,,Philippines,4791,Philippines,Myanmar,23484,Myanmar,5-1,Finalizado
2026-06-09,11:35,World,International Friendly Games,851,Int. Friendly Games,66,,China,4755,China,Thailand,4730,Thailand,0-0,Finalizado
2026-06-09,12:00,World,International Friendly Games,851,Int. Friendly Games,66,,Cambodia,7929,Cambodia,Hong Kong,4765,Hong Kong,2-0,Finalizado
2026-06-09,12:00,World,International Friendly Games,851,Int. Friendly Games,66,,Kuwait,5368,Kuwait,Oman,4787,Oman,-,Cancelado
2026-06-09,12:30,Ukraine,Ukrainian Premier League,218,"Premier League, Relegation/Promotion Playoffs",66388,Semifinals,FC Livyi Bereh Kyiv,388209,Ukraine,Oleksandria,25479,Ukraine,1-0,Finalizado
2026-06-09,13:00,World,International Friendly Games,851,Int. Friendly Games,66,,Indonesia,4829,Indonesia,Mozambique,4783,Mozambique,1-0,Finalizado
2026-06-09,14:00,World,International Friendly Games,851,Int. Friendly Games,66,,Bahrain,5161,Bahrain,Syria,4731,Syria,-,Cancelado
2026-06-09,14:00,World,U21 Friendly Games,854,U21 Friendly Games,1435,,Azerbaijan U21,7849,Azerbaijan,Kyrgyzstan U21,63058,Kyrgyzstan,1-3,Finalizado
2026-06-09,15:00,World,International Friendly Games,851,Int. Friendly Games,66,,Armenia,4740,Armenia,Moldova,4782,Moldova,1-1,Finalizado
2026-06-09,15:00,World,International Friendly Games,851,Int. Friendly Games,66,,Tajikistan,23488,Tajikistan,India,4828,India,1-1,Finalizado
2026-06-09,15:00,Europe,Baltic Cup,1060,Baltic Cup,106046,Match for 3rd place,Latvia,4706,Latvia,Faroe Islands,4760,Faroe Islands,0-1,Finalizado
2026-06-09,15:00,Ukraine,Ukrainian Premier League,218,"Premier League, Relegation/Promotion Playoffs",66388,Semifinals,Ahrobiznes Volochysk,228063,Ukraine,Kudrivka,316055,Ukraine,4-5,Finalizado
2026-06-09,15:00,World,International Friendly Games Women,852,"International Friendly Games, Women",1039,,Jordan,150070,Jordan,Palestine,132952,Palestine,1-0,Finalizado
2026-06-09,15:30,Finland,Suomen Cup,220,Suomen Cup,122,Quarterfinals,FC Honka,2260,Finland,HJK,2242,Finland,1-7,Finalizado
2026-06-09,16:00,World,International Friendly Games,851,Int. Friendly Games,66,,DR Congo,4823,DR Congo,Chile,4754,Chile,1-2,Finalizado
2026-06-09,16:00,Europe,World Championship Women Qual.,780,"FIFA World Cup, Women, Qualification, UEFA, Gr. A4",168853,Jornada 6,Norway,7422,Norway,Austria,34014,Austria,2-1,Finalizado
2026-06-09,16:00,Europe,World Championship Women Qual.,780,"FIFA World Cup, Women, Qualification, UEFA, Gr. A4",168853,Jornada 6,Slovenia,37373,Slovenia,Germany,23992,Germany,0-2,Finalizado
2026-06-09,16:00,Europe,Baltic Cup,1060,Baltic Cup,106046,Final,Estonia,4759,Estonia,Lithuania,4776,Lithuania,1-0,Finalizado
