Jugador_Local,Jugador_Visitante,Fecha,Hora_Aprox,Torneo,Torneo_ID_Sofascore,Categoria,Superficie,Ronda,Jugador_Local_ID_Sofascore,Jugador_Visitante_ID_Sofascore,Event_ID_Sofascore,Category_ID,Ranking_Local,Ranking_Visitante,Seed_Local,Seed_Visitante,Estado,Pais_Torneo,Numero_Ronda
Daniel Rincon,Tom Gentzsch,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,307391,380042,16444772,72,261,216,,,notstarted,,6
Diego Dedura-Palomero,Clement Tabur,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,484219,206602,16444776,72,271,189,,,notstarted,,6
Juan Carlos Prado Angelo,Adolfo Daniel Vallejo,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,392072,326949,16444774,72,181,72,,,notstarted,,6
Laslo Djere,Gonzalo Bueno,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,97231,299765,16444778,72,234,182,,,notstarted,,6
Martin Krumich,Francisco Comesaña,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,286492,255420,16444771,72,282,91,,,notstarted,,6
Marvin Möller,Benito Sanchez Martinez,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,226833,262399,16444775,72,372,1124,,,notstarted,,6
Max Hans Rehberg,Moise Kouame,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,300293,522369,16444788,72,510,215,,,notstarted,,6
Niels McDonald,Keegan Smith,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,484006,232059,16444777,72,569,247,,,notstarted,,6
Nikoloz Basilashvili,Vilius Gaubas,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,26204,322022,16444773,72,111,129,,,notstarted,,6
Roman Andres Burruchaga,Max Schoenhaus,2026-07-06,03:00,"Braunschweig, Germany",3490,Challenger,Unknown,Round of 32,287181,420304,16444779,72,65,335,,,notstarted,,6
Alberto Barroso Campos,Guillaume Dalmasso,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,111609,424742,16444857,72,618,566,,,notstarted,,6
Arda Azkara,Oliver Bonding,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,271939,478944,16444851,72,697,836,,,notstarted,,6
Clement Chidekh,Maxime Janvier,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,231620,107625,16444858,72,205,572,,,notstarted,,6
Daniel De Jonge,Emile Hudd,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,200185,245109,16444854,72,619,520,,,notstarted,,6
Filip Jeff Planinšek,Igor Marcondes,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,326087,82157,16444846,72,565,328,,,notstarted,,6
Filippo Romano,Max Basing,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,399603,275074,16444849,72,312,329,,,notstarted,,6
Johannus Monday,Matthew Summers,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,313822,237045,16444852,72,313,834,,,notstarted,,6
Lui Maxted,Antoine Ghibaudo,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,322489,339606,16444856,72,405,298,,,notstarted,,6
Mitsuki Wei Kang Leong,Luca Castelnuovo,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,422851,92667,16444848,72,547,410,,,notstarted,,6
Oscar Weightman,Alastair Gray,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,276364,222958,16444853,72,698,277,,,notstarted,,6
Patrick Zahraj,Henry Searle,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,208222,406808,16444850,72,401,273,,,notstarted,,6
Yi Zhou,Robin Catry,2026-07-06,05:00,"ATP Challenger Nottingham 3, Great Britain Men Singles",27679,Challenger,Unknown,Round of 32,450685,370164,16444855,72,240,579,,,notstarted,,6
Ashlyn Krueger,Marta Kostyuk,2026-07-06,05:00,Wimbledon,2600,WTA,Unknown,Round of 16,311012,230056,16385450,6,102,13,,,notstarted,,5
Jasmine Paolini,Alexandra Eala,2026-07-06,05:00,Wimbledon,2600,WTA,Unknown,Round of 16,69208,327924,16385452,6,17,32,,,notstarted,,5
Marie Bouzkova,Elise Mertens,2026-07-06,05:00,Wimbledon,2600,WTA,Unknown,Round of 16,105463,78551,16385416,6,23,27,,,notstarted,,5
Alex de Minaur,Flavio Cobolli,2026-07-06,05:00,Wimbledon,2361,ATP,Unknown,Round of 16,201239,273680,16385338,3,6,10,,,notstarted,,5
Jiri Lehečka,Alexander Zverev,2026-07-06,05:00,Wimbledon,2361,ATP,Unknown,Round of 16,254742,57163,16385336,3,14,3,,,notstarted,,5
Madison Keys,Linda Noskova,2026-07-06,05:00,Wimbledon,2600,WTA,Unknown,Round of 16,35424,274049,16385414,6,22,12,,,notstarted,,5
Jerome Kym,Thomas Faurel,2026-07-06,05:30,"Iasi, Romania ",15277,Challenger,Unknown,Round of 32,309071,462179,16444325,72,196,321,,,notstarted,,6
Stefan Palosi,Zdenek Kolar,2026-07-06,05:30,"Iasi, Romania ",15277,Challenger,Unknown,Round of 32,231562,132558,16444326,72,411,154,,,notstarted,,6
Tomás Barrios Vera,Ilia Simakin,2026-07-06,05:30,"Iasi, Romania ",15277,Challenger,Unknown,Round of 32,132834,342909,16444324,72,137,304,,,notstarted,,6
Valentin Royer,Filip Cristian Jianu,2026-07-06,05:30,"Iasi, Romania ",15277,Challenger,Unknown,Round of 32,255449,230049,16444327,72,75,278,,,notstarted,,6
Alexander Binda,David Poljak,2026-07-06,09:00,"Iasi, Romania ",15277,Challenger,Unknown,Qualification Round 1,295881,60614,16444286,72,480,1181,,,notstarted,,1
Luca Marc,Stefan Horia Haita,2026-07-06,09:00,"Iasi, Romania ",15277,Challenger,Unknown,Qualification Round 1,1244408,486375,16444281,72,,857,,,notstarted,,1
