event_id,categoria,category_id,tourney_id,tourney_name,tourney_slug,tourney_season,tourney_date,tourney_country,surface,round,round_number,home_player_id,home_player_name,home_player_slug,home_player_country,home_player_ranking,home_player_seed,away_player_id,away_player_name,away_player_slug,away_player_country,away_player_ranking,away_player_seed,match_time,status,start_timestamp,scrape_date
16404782,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,83263,Akira Santillan,santillan-akira,Japan,310,,50847,Denis Yevseyev,yevseyev-denis,Kazakhstan,457,,02:30,notstarted,1782718200,2026-06-28
16405055,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,51009,Dimitar Kuzmanov,kuzmanov-dimitar,Bulgaria,443,,217878,Peter Makk,makk-peter,Hungary,564,,02:30,notstarted,1782718200,2026-06-28
16404783,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,480587,Gabriel Ghetu,ghetu-gabriel,Romania,718,,60614,David Poljak,poljak-david,Czechia,1181,,02:30,notstarted,1782718200,2026-06-28
16402082,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,6,131566,Sumit Nagal,nagal-sumit,India,285,,258908,Francesco Passaro,passaro-francesco,Italy,190,,03:00,canceled,1782720000,2026-06-28
16405287,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,451920,Alejo Sanchez Quilez,sanchez-quilez-alejo,Spain,499,,213076,Mathys Erhard,erhard-mathys,France,384,,03:00,notstarted,1782720000,2026-06-28
16405097,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,50139,Norbert Gombos,gombos-norbert,Slovakia,365,,221339,Georgii Kravchenko,kravchenko-georgii,Ukraine,472,,03:00,notstarted,1782720000,2026-06-28
16404994,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,227447,Tommaso Compagnucci,compagnucci-tommaso,Italy,374,,353705,Matthew William Donald,donald-matthew,Czechia,485,,03:00,notstarted,1782720000,2026-06-28
16404741,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,199198,Alan Fernando Rubio Fierros,rubio-fierros-alan-fernando,Mexico,589,,77501,Kai Wehnelt,wehnelt-kai,Germany,692,,03:00,notstarted,1782720000,2026-06-28
16405002,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,17065,Maxime Chazal,chazal-maxime,France,489,,480913,Fryderyk Lechno-Wasiutynski,lechno-wasiutynski-fryderyk,Poland,656,,03:00,notstarted,1782720000,2026-06-28
16404860,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,403858,Svyatoslav Gulin,gulin-svyatoslav,Russia,522,,381419,Amit Vales,vales-amit,Israel,723,,03:00,notstarted,1782720000,2026-06-28
16405622,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,44547,Radu Albot,albot-radu,Moldova,441,,265627,Sebastian Gima,gima-sebastian,Romania,537,,03:40,notstarted,1782722400,2026-06-28
16405623,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,198223,Sergey Fomin,fomin-sergey,Uzbekistan,296,,325223,Olle Wallin,wallin-olle,Sweden,447,,03:40,notstarted,1782722400,2026-06-28
16405840,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,288465,Fausto Tabacco,tabacco-fausto,Italy,635,,453479,Daniele Rapagnetta,rapagnetta-daniele,Italy,898,,04:10,notstarted,1782724200,2026-06-28
16405745,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,51100,Oriol Roca Batalla,roca-batalla-oriol,Spain,316,,53483,Daniel Masur,masur-daniel,Germany,380,,04:10,notstarted,1782724200,2026-06-28
16405560,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,245546,Luca Staeheli,staeheli-luca,Switzerland,587,,460257,Yanis Ghazouani Durand,ghazouani-durand-yanis,France,628,,04:10,notstarted,1782724200,2026-06-28
16405723,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,1084374,Pavel Lagutin,lagutin-pavel,Russia,759,,170976,Franco Ribero,ribero-franco,Argentina,703,,04:10,notstarted,1782724200,2026-06-28
16405291,Challenger,72,18661,"Troyes, France",troyes-france,,2026-06-29,,,,250,383990,Theo Papamalamis,papamalamis-theo,France,836,,460287,Izan Almazan Valiente,almazan-valiente-izan,Spain,643,,04:10,notstarted,1782724200,2026-06-28
16406060,Challenger,72,3453,"Milano, Italy",milano-italy,,2026-06-29,,,,250,106153,Enrico Dalla Valle,dalla-valle-enrico,Italy,363,,332304,Pyotr Nesterov,nesterov-petr,Bulgaria,396,,04:30,notstarted,1782725400,2026-06-28
16402075,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,6,269909,Alvaro Guillen Meza,guillen-meza-alvaro,Ecuador,267,,240797,Franco Roncadelli,roncadelli-franco,Uruguay,243,,05:00,notstarted,1782727200,2026-06-28
16402074,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,6,208225,Henri Squire,squire-henri,Germany,235,,406654,Gilles Arnaud Bailly,arnaud-bailly-gilles,Belgium,208,,05:00,notstarted,1782727200,2026-06-28
16405841,Challenger,72,3436,"Brasov, Romania",brasov-romania-men-singles,,2026-06-29,,,,250,342909,Ilia Simakin,simakin-ilia,Russia,302,,107625,Maxime Janvier,janvier-maxime,France,568,,05:00,notstarted,1782727200,2026-06-28
16397294,ATP,3,2361,Wimbledon,wimbledon,,2026-06-29,,,,64,187608,Aleksandar Kovačević,kovacevic-aleksandar,USA,70,,102339,Botic Van de Zandschulp,van-de-zandschulp-botic,Netherlands,52,,05:00,notstarted,1782727200,2026-06-28
16397305,ATP,3,2361,Wimbledon,wimbledon,,2026-06-29,,,,64,124656,Aleksandar Vukić,vukic-aleksandar,Australia,103,,191873,Jenson Brooksby,brooksby-jenson,USA,67,,05:00,notstarted,1782727200,2026-06-28
16397292,ATP,3,2361,Wimbledon,wimbledon,,2026-06-29,,,,64,106755,Andrey Rublev,rublev-andrey,Russia,13,,124930,Roman Safiullin,safiullin-roman,Russia,127,,05:00,notstarted,1782727200,2026-06-28
