event_id,pais,liga,tourney_id,tourney_name,tourney_season,tourney_date,round,round_number,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_ht_goals,away_ht_goals,home_et_goals,away_et_goals,home_pen_goals,away_pen_goals,result,scrape_date,ALL_ball_possession_home,ALL_ball_possession_away,ALL_expected_goals_home,ALL_expected_goals_away,ALL_big_chances_home,ALL_big_chances_away,ALL_total_shots_home,ALL_total_shots_away,ALL_goalkeeper_saves_home,ALL_goalkeeper_saves_away,ALL_corner_kicks_home,ALL_corner_kicks_away,ALL_fouls_home,ALL_fouls_away,ALL_passes_home,ALL_passes_away,ALL_yellow_cards_home,ALL_yellow_cards_away,ALL_shots_on_target_home,ALL_shots_on_target_away,ALL_offsides_home,ALL_offsides_away,ALL_accurate_passes_home,ALL_accurate_passes_away,ALL_red_cards_home,ALL_red_cards_away
14023959,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,30,Brighton & Hove Albion,35,Manchester United,0,3,0,2,,,,,A,2026-05-27,52%,48%,0.79,1.66,0,4,13,11,5,2,0,3,11,8,484,450,0,1,2,7,1,0,415,372,0,0
14023960,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,6,Burnley,3,Wolverhampton,1,1,0,1,,,,,D,2026-05-27,70%,30%,0.98,2.09,2,4,16,16,3,7,7,7,10,11,569,225,2,2,8,4,0,3,498,163,0,0
14023963,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,7,Crystal Palace,42,Arsenal,1,2,0,1,,,,,A,2026-05-27,40%,60%,0.98,2.53,3,7,8,17,5,2,3,4,9,12,328,518,0,1,3,7,1,0,261,460,0,0
14023965,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,43,Fulham,39,Newcastle United,2,0,1,0,,,,,H,2026-05-27,45%,55%,1.81,0.31,1,0,21,7,2,4,6,6,13,6,418,508,2,2,6,2,1,1,345,445,0,0
14023962,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,44,Liverpool FC,50,Brentford,1,1,0,0,,,,,D,2026-05-27,60%,40%,3.04,1.56,4,3,24,11,1,7,14,2,9,9,508,333,2,3,8,2,1,0,438,262,0,0
14023961,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,17,Manchester City,40,Aston Villa,1,2,1,0,,,,,A,2026-05-27,53%,47%,1.34,1.77,2,4,16,12,3,2,9,4,8,4,481,440,1,0,3,5,1,1,426,397,0,0
14023964,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,14,Nottingham Forest,60,Bournemouth,1,1,1,0,,,,,D,2026-05-27,45%,55%,1.73,0.95,4,1,15,17,3,3,6,3,11,7,396,485,1,1,5,4,3,1,307,409,0,0
14023966,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,41,Sunderland,38,Chelsea,2,1,1,0,,,,,H,2026-05-27,44%,56%,1.84,0.89,2,2,21,8,2,5,6,2,15,12,346,452,5,5,6,3,2,1,285,376,0,1
14023967,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,33,Tottenham Hotspur,48,Everton,1,0,1,0,,,,,H,2026-05-27,50%,50%,1.15,0.41,3,0,20,10,1,1,7,7,15,18,381,384,3,2,2,1,0,0,321,316,0,0
14023968,England,Premier League,17,Premier League,Premier League 25/26,2026-05-25,Unknown,38,37,West Ham United,34,Leeds United,3,0,0,0,,,,,H,2026-05-27,42%,58%,2.61,1.59,4,2,16,13,3,5,6,4,11,14,316,453,0,3,9,3,0,1,239,374,0,0
