event_id,tourney_id,home_player_id,away_player_id,tourney_date,surface,category_id,is_grandslam,home_player_name,away_player_name,home_sets,away_sets,winner,retired,walkover,ALL_aces_home,ALL_aces_away,ALL_double_faults_home,ALL_double_faults_away,ALL_service_points_won_home,ALL_service_points_won_away,ALL_return_points_won_home,ALL_return_points_won_away,ALL_break_points_won_home,ALL_break_points_won_away,ALL_break_points_saved_home,ALL_break_points_saved_away,s1_home,s1_away,s2_home,s2_away,s3_home,s3_away,s4_home,s4_away,s5_home,s5_away
16013078,2374,273680,57163,2026-05-01,Red clay,3,False,Flavio Cobolli,Alexander Zverev,0,2,away,,,1,12,4,2,33,38,14,29,0,2,5,1,1,6,4,6,,,,,,
16012217,2374,206570,338500,2026-05-01,Red clay,3,False,Jannik Sinner,Arthur Fils,2,0,home,,,4,3,1,2,36,35,26,10,2,0,0,3,6,2,6,4,,,,,,
16012216,2374,390214,57163,2026-05-01,Red clay,3,False,Alexander Blockx,Alexander Zverev,0,2,away,,,6,6,2,2,47,42,10,37,0,3,9,0,2,6,5,7,,,,,,
16896196,2439,44553,290569,2026-05-01,Hardcourt outdoor,3,False,Pierre-Hugues Herbert,Quinn Vandecasteele,0,0,,,,0,4,0,0,8,11,5,0,0,0,0,2,2,2,,,,,,,,
16896261,2439,494195,408344,2026-05-01,Hardcourt outdoor,3,False,Felix Balshaw,Sebastian Gorzny,0,0,,,,1,1,2,0,8,5,0,8,0,1,1,0,1,2,,,,,,,,
16896197,2439,107357,445470,2026-05-01,Hardcourt outdoor,3,False,Hugo Grenier,Mees Rottgering,0,0,,,,0,0,0,1,4,7,6,1,1,0,0,2,2,1,,,,,,,,
16896630,2439,307383,231728,2026-05-01,Hardcourt outdoor,3,False,Abdullah Shelbayh,Dhakshineswar Suresh,0,0,,,,1,2,1,0,8,4,1,3,0,0,,,2,1,,,,,,,,
16012138,2607,248326,406776,2026-05-01,Red clay,6,False,Hailey Baptiste,Mirra Andreeva,0,2,away,,,5,3,2,1,50,48,14,28,1,2,2,0,4,6,6,7,,,,,,
16012140,2607,230056,210831,2026-05-01,Red clay,6,False,Marta Kostyuk,Anastasia Potapova,2,1,home,,,1,0,5,6,39,34,35,34,6,4,8,7,6,2,1,6,6,1,,,,
16050206,20302,271389,112783,2026-05-01,Red clay,72,False,Mariano Navone,Matteo Berrettini,0,2,away,,,0,6,2,1,39,43,17,28,1,2,3,1,5,7,3,6,,,,,,
16050201,20302,294337,425525,2026-05-01,Red clay,72,False,Mattia Bellucci,Gianluca Cadenasso,0,2,away,,,0,0,3,4,26,38,21,30,1,1,6,3,5,7,1,6,,,,,,
16050205,20302,232057,158896,2026-05-01,Red clay,72,False,Emilio Nava,Hubert Hurkacz,0,2,away,,,5,12,1,0,28,35,8,24,1,2,3,0,4,6,1,6,,,,,,
16050203,20302,287181,93597,2026-05-01,Red clay,72,False,Roman Andres Burruchaga,Andrea Pellegrino,2,1,home,,,0,2,6,3,69,65,45,42,3,2,7,4,6,4,4,6,7,5,,,,
16050211,20302,187608,42379,2026-05-01,Red clay,72,False,Aleksandar Kovačević,Marcos Giron,1,2,away,,,3,3,5,1,60,53,28,44,2,3,7,1,2,6,6,3,4,6,,,,
16050209,20302,299538,125006,2026-05-01,Red clay,72,False,Matteo Arnaldi,Nuno Borges,2,1,home,,,5,7,3,4,70,68,44,48,3,1,7,5,6,3,6,7,7,6,,,,
16050204,20302,287181,42379,2026-05-01,Red clay,72,False,Roman Andres Burruchaga,Marcos Giron,2,1,home,,,3,4,5,3,50,55,40,35,4,3,5,4,6,3,2,6,7,6,,,,
16050197,20302,425525,244420,2026-05-01,Red clay,72,False,Gianluca Cadenasso,Jesper De Jong,2,1,home,,,4,1,6,5,64,55,48,52,7,3,10,8,6,4,5,7,6,3,,,,
16050199,20302,112783,158896,2026-05-01,Red clay,72,False,Matteo Berrettini,Hubert Hurkacz,1,2,away,,,3,8,2,2,53,62,21,26,1,1,2,3,6,4,3,6,4,6,,,,
16050202,20302,299538,425525,2026-05-01,Red clay,72,False,Matteo Arnaldi,Gianluca Cadenasso,2,1,home,,,2,2,3,3,42,22,32,36,4,2,10,4,1,6,6,1,6,0,,,,
16050210,20302,158896,287181,2026-05-01,Red clay,72,False,Hubert Hurkacz,Roman Andres Burruchaga,2,1,home,,,11,0,3,6,66,63,50,46,4,3,9,7,4,6,7,6,6,3,,,,
16050477,26121,321948,420998,2026-05-01,Hardcourt outdoor,72,False,Eliakim Coulibaly,Karim Bennani,2,0,home,,,10,1,1,2,35,22,24,8,3,0,2,1,6,1,6,3,,,,,,
16050479,26121,245307,303122,2026-05-01,Hardcourt outdoor,72,False,Hamish Stewart,Blaise Bicknell,2,1,home,,,10,3,2,0,81,68,28,41,1,2,8,0,7,6,4,6,7,6,,,,
16050475,26121,172482,226806,2026-05-01,Hardcourt outdoor,72,False,Aziz Dougaz,Florent Bax,1,2,away,,,8,8,6,12,68,69,37,33,2,1,5,4,4,6,6,3,6,7,,,,
16050474,26121,103625,296802,2026-05-01,Hardcourt outdoor,72,False,Michael Geerts,Niels Visker,1,2,away,,,9,25,1,8,88,92,38,30,0,0,4,4,6,7,7,6,6,7,,,,
16050486,26121,321948,245307,2026-05-01,Hardcourt outdoor,72,False,Eliakim Coulibaly,Hamish Stewart,2,0,home,,,8,7,0,2,33,24,21,8,3,0,1,1,6,3,6,2,,,,,,
16050480,26121,233700,200150,2026-05-01,Hardcourt outdoor,72,False,Gauthier Onclin,Mert Alkaya,2,0,home,,,4,12,3,4,48,49,34,23,2,1,3,5,6,3,7,6,,,,,,
16050482,26121,81271,131442,2026-05-01,Hardcourt outdoor,72,False,Calvin Hemery,Michael Mmoh,1,2,away,,,5,8,7,11,55,63,35,35,2,4,3,6,6,3,5,7,3,6,,,,
16050478,26121,296802,226806,2026-05-01,Hardcourt outdoor,72,False,Niels Visker,Florent Bax,2,0,home,,,15,3,4,2,51,46,24,15,0,0,1,4,7,6,6,3,,,,,,
16050172,6107,406728,217448,2026-05-01,Red clay,72,False,Alex Michelsen,Pol Martin Tiffon,1,2,away,,,5,2,3,1,53,50,30,34,2,3,4,1,4,6,6,3,3,6,,,,
16050170,6107,322082,462179,2026-05-01,Red clay,72,False,Ignacio Buse,Thomas Faurel,2,0,home,,,2,2,0,1,35,39,36,10,4,0,1,3,6,4,6,2,,,,,,
16050160,6107,16720,102151,2026-05-01,Red clay,72,False,Roberto Bautista Agut,Alejandro Tabilo,1,2,away,,,3,6,2,1,45,53,25,32,2,5,2,4,6,4,2,6,4,6,,,,
16050159,6107,170946,237452,2026-05-01,Red clay,72,False,Zizou Bergs,Rinky Hijikata,2,1,home,,,4,3,4,2,60,50,34,25,2,1,3,6,5,7,6,2,6,2,,,,
16050165,6107,217448,54955,2026-05-01,Red clay,72,False,Pol Martin Tiffon,Kimmer Coppejans,2,0,home,,,5,3,0,0,45,53,39,27,2,2,1,10,7,6,6,4,,,,,,
16050167,6107,194186,334293,2026-05-01,Red clay,72,False,Yibing Wu,Ethan Quinn,1,2,away,,,2,7,1,4,61,63,28,34,2,2,3,2,4,6,7,5,4,6,,,,
16050163,6107,322082,102151,2026-05-01,Red clay,72,False,Ignacio Buse,Alejandro Tabilo,0,2,away,,,5,2,1,0,36,34,18,39,1,5,4,4,4,6,0,6,,,,,,
16050158,6107,217448,170946,2026-05-01,Red clay,72,False,Pol Martin Tiffon,Zizou Bergs,0,2,away,,,3,9,2,5,32,46,25,23,0,3,2,5,3,6,4,6,,,,,,
16050166,6107,334293,102151,2026-05-01,Red clay,72,False,Ethan Quinn,Alejandro Tabilo,1,2,away,,,6,9,3,1,69,62,18,39,0,1,8,1,3,6,6,3,6,7,,,,
16050351,34346,383991,163438,2026-05-01,Red clay,72,False,Mark Lajal,Fajing Sun,1,2,away,,,8,5,2,2,60,54,23,27,0,2,5,2,6,3,3,6,4,6,,,,
16050343,34346,207575,187236,2026-05-01,Red clay,72,False,Adam Walton,Alexis Galarneau,2,1,home,,,6,5,0,5,68,68,40,29,3,1,0,5,6,1,6,7,7,6,,,,
16050349,34346,254227,289106,2026-05-01,Red clay,72,False,Yunchaokete Bu,Coleman Wong,0,2,away,,,7,11,0,2,55,62,24,28,1,1,1,0,6,7,6,7,,,,,,
16050340,34346,232059,58369,2026-05-01,Red clay,72,False,Keegan Smith,Alex Bolt,0,2,away,,,6,5,1,1,56,57,24,25,1,1,1,3,6,7,6,7,,,,,,
16050339,34346,58369,207575,2026-05-01,Red clay,72,False,Alex Bolt,Adam Walton,1,2,away,,,11,10,2,2,54,54,33,35,4,5,0,2,2,6,6,3,6,7,,,,
16050337,34346,289106,163438,2026-05-01,Red clay,72,False,Coleman Wong,Fajing Sun,2,0,home,,,12,1,1,1,44,29,20,20,3,1,4,1,6,3,6,4,,,,,,
16050298,22392,199379,57155,2026-05-01,Red clay,72,False,Sandro Kopp,David Jorda Sanchis,0,2,away,,,0,6,4,4,28,35,24,26,2,4,3,3,3,6,3,6,,,,,,
16050302,22392,124930,243925,2026-05-01,Red clay,72,False,Roman Safiullin,Titouan Droguet,2,1,home,,,3,6,8,4,59,55,37,37,4,3,6,5,6,2,4,6,6,4,,,,
16050303,22392,407392,353705,2026-05-01,Red clay,72,False,Darwin Blanch,Matthew William Donald,2,0,home,,,9,1,2,5,47,38,33,29,3,1,5,2,6,3,6,4,,,,,,
16050304,22392,192862,341818,2026-05-01,Red clay,72,False,Miguel Damas,Jaime Faria,0,2,away,,,0,3,2,3,19,24,7,28,0,3,4,0,1,6,0,6,,,,,,
16050291,22392,339450,97231,2026-05-01,Red clay,72,False,Lukas Neumayer,Laslo Djere,2,0,home,,,3,3,1,4,45,41,27,24,1,1,3,4,7,6,6,3,,,,,,
16050293,22392,57155,124930,2026-05-01,Red clay,72,False,David Jorda Sanchis,Roman Safiullin,1,2,away,,,6,4,6,3,45,60,39,35,1,3,5,7,3,6,6,3,1,6,,,,
16050292,22392,341818,407392,2026-05-01,Red clay,72,False,Jaime Faria,Darwin Blanch,2,0,home,,,5,2,4,2,39,23,20,16,2,0,1,2,6,3,6,2,,,,,,
16050297,22392,339450,124930,2026-05-01,Red clay,72,False,Lukas Neumayer,Roman Safiullin,1,2,away,,,2,5,3,0,47,52,19,25,1,3,2,3,3,6,6,3,2,6,,,,
16050455,3179,260122,66484,2026-05-01,Red clay,72,False,Dalibor Svrčina,Frederico Ferreira Silva,2,0,home,,,5,0,3,4,44,49,43,31,4,1,6,11,6,3,6,4,,,,,,
16050462,3179,44549,201847,2026-05-01,Red clay,72,False,Marco Cecchinato,Raul Brancaccio,1,2,away,,,4,2,7,1,62,62,34,45,2,2,7,7,6,4,4,6,4,6,,,,
16050460,3179,132558,63090,2026-05-01,Red clay,72,False,Zdenek Kolar,Nerman Fatić,2,0,home,,,3,1,2,1,36,21,25,21,3,1,2,2,6,2,6,3,,,,,,
16050457,3179,380042,209103,2026-05-01,Red clay,72,False,Tom Gentzsch,Rudolf Molleker,2,1,home,,,9,3,6,4,56,43,27,29,2,1,5,3,6,1,4,6,6,3,,,,
16050456,3179,260122,193644,2026-05-01,Red clay,72,False,Dalibor Svrčina,Nikolas Sanchez Izquierdo,1,2,away,,,2,2,4,2,47,53,39,42,3,4,5,2,4,6,7,5,2,6,,,,
16050452,3179,201847,132558,2026-05-01,Red clay,72,False,Raul Brancaccio,Zdenek Kolar,0,2,away,,,1,2,5,4,34,44,24,33,2,3,4,3,3,6,5,7,,,,,,
16050459,3179,193644,380042,2026-05-01,Red clay,72,False,Nikolas Sanchez Izquierdo,Tom Gentzsch,2,1,home,,,3,4,2,7,48,46,36,24,3,2,1,3,3,6,6,4,6,1,,,,
